name,batch,seqlen,head,bw
flash_infer,32,32799,32,3492
flash_mla_triton,32,32799,32,713
torch,32,32799,64,4
flash_mla,32,32799,64,3421
flash_infer,32,32799,64,3420
flash_mla_triton,32,32799,64,363
torch,32,32799,128,2
flash_mla,32,32799,128,2303
flash_infer,32,32799,128,2281
flash_mla_triton,32,32799,128,183
torch,64,1087,16,3
flash_mla,64,1087,16,1744
flash_infer,64,1087,16,1754
flash_mla_triton,64,1087,16,483
torch,64,1087,32,3
flash_mla,64,1087,32,1684
flash_infer,64,1087,32,1687
flash_mla_triton,64,1087,32,273
torch,64,1087,64,3
flash_mla,64,1087,64,1590
flash_infer,64,1087,64,1518
flash_mla_triton,64,1087,64,150
torch,64,1087,128,2
flash_mla,64,1087,128,1468
flash_infer,64,1087,128,1888
flash_mla_triton,64,1087,128,84
torch,64,2111,16,6
flash_mla,64,2111,16,2286
flash_infer,64,2111,16,1939
flash_mla_triton,64,2111,16,587
torch,64,2111,32,6
flash_mla,64,2111,32,2231
flash_infer,64,2111,32,1901
flash_mla_triton,64,2111,32,320
torch,64,2111,64,4
flash_mla,64,2111,64,2129
flash_infer,64,2111,64,1810
flash_mla_triton,64,2111,64,170
torch,64,2111,128,2
flash_mla,64,2111,128,1835
flash_infer,64,2111,128,1431
flash_mla_triton,64,2111,128,91
torch,64,4159,16,11
flash_mla,64,4159,16,2778
flash_infer,64,4159,16,2591
flash_mla_triton,64,4159,16,836
torch,64,4159,32,7
flash_mla,64,4159,32,2730
flash_infer,64,4159,32,2552
flash_mla_triton,64,4159,32,451
torch,64,4159,64,4
flash_mla,64,4159,64,2636
flash_infer,64,4159,64,2381
flash_mla_triton,64,4159,64,235
torch,64,4159,128,2
flash_mla,64,4159,128,2211
flash_infer,64,4159,128,1809
flash_mla_triton,64,4159,128,122
torch,64,8255,16,14
flash_mla,64,8255,16,3235
flash_infer,64,8255,16,3095
flash_mla_triton,64,8255,16,1078
torch,64,8255,32,8
flash_mla,64,8255,32,3204
flash_infer,64,8255,32,3052
flash_mla_triton,64,8255,32,571
torch,64,8255,64,4
flash_mla,64,8255,64,3152
flash_infer,64,8255,64,2936
flash_mla_triton,64,8255,64,293
torch,64,8255,128,2
flash_mla,64,8255,128,2306
flash_infer,64,8255,128,2129
flash_mla_triton,64,8255,128,149
torch,64,16447,16,14
flash_mla,64,16447,16,3473
flash_infer,64,16447,16,3447
flash_mla_triton,64,16447,16,1274
torch,64,16447,32,8
flash_mla,64,16447,32,3417
flash_infer,64,16447,32,3423
flash_mla_triton,64,16447,32,663
torch,64,16447,64,4
flash_mla,64,16447,64,3313
flash_infer,64,16447,64,3340
flash_mla_triton,64,16447,64,338
torch,64,16447,128,2
flash_mla,64,16447,128,2322
flash_infer,64,16447,128,2207
flash_mla_triton,64,16447,128,170
torch,64,32831,16,15
flash_mla,64,32831,16,3658
flash_infer,64,32831,16,3462
flash_mla_triton,64,32831,16,1409
torch,64,32831,32,8
